name;parent_id;community_id;category;pha;population_proper;state_id;pha_url
All Burlington Vermont HD;;us-vt-burlington-all;Summary;;;VT;
Morrisville Vermont HD;us-vt;us-vt-morrisville;Group;TRUE;32860;VT;https://www.healthvermont.gov/local/morrisville
Middlebury Vermont HD;us-vt;us-vt-middlebury;Group;TRUE;28068;VT;
All Middlebury Vermont HD;;us-vt-middlebury-all;Summary;;;VT;
All Morrisville Vermont HD;;us-vt-morrisville-all;Summary;;;VT;
Newport Vermont HD;us-vt;us-vt-newport;Group;TRUE;27878;VT;
All Newport Vermont HD;;us-vt-newport-all;Summary;;;VT;
Rutland Vermont HD;us-vt;us-vt-rutland-hd;Group;TRUE;60744;VT;
All Rutland Vermont HD;;us-vt-rutland-hd-all;Summary;;;VT;
Springfield Vermont HD;us-vt;us-vt-springfield;Group;TRUE;24907;VT;
All Springfield Vermont HD;;us-vt-springfield-all;Summary;;;VT;
St. Albans Vermont HD;us-vt;us-vt-st-albans;Group;TRUE;113886;VT;
All St. Albans Vermont HD;;us-vt-st-albans-all;Summary;;;VT;
St. Johnsbury Vermont HD;us-vt;us-vt-st-johnsbury-hd;Group;TRUE;25809;VT;
White River Junction Vermont HD;us-vt;us-vt-wrj;Group;TRUE;58430;VT;http://healthvermont.gov/local/district/wrj.aspx
All St. Johnsbury Vermont HD;;us-vt-st-johnsbury-hd-all;Summary;;;VT;
All The Public Health Council of the Upper Valley (PHC);;us-vt-uv-all;Summary;;;VT;
All White River Junction Vermont HD;;us-vt-wrj-all;Summary;;;VT;
